id,freq,grammar,sv,wclass,example
2886,2570,en,övertygelse,noun-en,
2887,2567,,stackars,adjective,
2888,2565,en,sänkning,noun-en,
2889,2563,en,potential,noun-en,
2890,2562,ett,antagande,noun-ett,
2891,2561,att,tilldela,verb,
2892,2557,en,biljett,noun-en,
2893,,att,motsätta,verb,
2894,2554,,komplex,adjective,
2895,,,skadad,adjective,
2896,2551,en,begäran,noun-en,
2897,2549,en,arena,noun-en,
2898,2549,en,kust,noun-en,
2899,2549,ett,åtal,noun-ett,
2900,2547,en,dimension,noun-en,
2901,2547,,internationellt,adverb,
2902,2547,,nationellt,adverb,
2903,2546,en,hållning,noun-en,
2904,2545,en,gen,noun-en,
2905,2545,ett,lugn,noun-ett,
2906,2544,att,döpa,verb,
2907,2544,en,fantasi,noun-en,
2908,2542,en,spets,noun-en,
2909,2541,att,avsätta,verb,
2910,2541,en,fundering,noun-en,
2911,2539,att,kombinera,verb,
2912,2535,att,observera,verb,
2913,2534,att,intressera,verb,e.g. intressera sig
2914,2534,,uppåt,adverb,
2915,2533,en,fas,noun-en,
2916,2532,ett,dop,noun-ett,
2917,2531,,professionell,adjective,
2918,2529,att,klippa,verb,e.g. klippa sig
2919,2528,,trist,adjective,
2920,2527,,ombord,adverb,
2921,2527,att,sparka,verb,
2922,2526,en,klimatförändring,noun-en,
2923,2524,att,undervisa,verb,
2924,2523,,dåvarande,adjective,
2925,2523,en,varning,noun-en,
2926,2521,ett,ton,noun-ett,
2927,2521,,tänkbar,adjective,
2928,2519,,villig,adjective,
2929,2517,en,station,noun-en,
2930,2516,en,släkting,noun-en,
2931,2513,,övrigt,adverb,"e.g. i övrigt, för övrigt"
2932,2511,,giltig,adjective,
2933,2510,,gudomlig,adjective,
2934,2508,,objektiv,adjective,
2935,2507,en,brand,noun-en,
2936,2495,,meningslös,adjective,
2937,2495,att,yttra,verb,
2938,2493,en,minskning,noun-en,
2939,2490,en,axel,noun-en,
2940,2489,att,försämra,verb,
2941,2488,en,motor,noun-en,
2942,2486,,i och med,adverb,
2943,2486,en,konstruktion,noun-en,
2944,2485,ett,arkiv,noun-ett,
2945,2485,ett,äventyr,noun-ett,
2946,,,oj,interj,
2948,2480,,humor,noun-en,
2949,2477,,like,noun,e.g. utan dess like
2950,2477,en,paragraf,noun-en,
2951,2473,att,odla,verb,
2952,2472,ett,erbjudande,noun-ett,
2953,2472,att,vidga,verb,
2954,2471,en,volym,noun-en,
2955,2470,att,motsätta sig,verb,
2956,2469,ett,missbruk,noun-ett,
2957,2467,att,utvidga,verb,
2958,2463,,snarast,adverb,
2959,2460,en,uppmaning,noun-en,
2960,2458,en,kram,noun-en,
2961,2457,att,intervjua,verb,
2962,2457,ett,livsmedel,noun-ett,
2963,2456,en,anklagelse,noun-en,
2964,2456,att,cykla,verb,
2965,2456,en,samordning,noun-en,
2966,2452,,dessvärre,adverb,
2967,2452,,oklar,adjective,
2968,2447,en,företeelse,noun-en,
2969,2447,att,offra,verb,
2970,2445,ett,lager,noun-ett,
2971,2444,ett,arbetsliv,noun-ett,
2972,,,lysande,adjective,
2973,2440,ett,bränsle,noun-ett,
2974,2440,en,finanskris,noun-en,
2975,2440,,nödvändigtvis,adverb,
2976,2439,,gott om,adverb,
2977,2438,,medeltid,noun-en,e.g. medeltiden
2978,2438,,strävan,noun,
2979,2437,en,hastighet,noun-en,
2980,2437,en,kö,noun-en,
2981,2436,ett,medvetande,noun-ett,
2982,2436,en,producent,noun-en,
2983,2436,,så pass,adverb,
2984,2436,,vetande,noun-ett,
2985,2435,,i mitten av,prep,
2986,2432,,dylik,adjective,
2987,2430,att,installera,verb,
2988,2428,att,utge,verb,
2989,2426,en,förberedelse,noun-en,
2990,2422,en,fördom,noun-en,
2991,2422,,synnerligen,adverb,
2992,2419,,i närheten av,prep,
2993,2419,ett,åtagande,noun-ett,
2994,2417,att,tillkännage,verb,
2995,2414,ett,kaos,noun-ett,
2996,2412,en,mästare,noun-en,
2997,2412,att,utmana,verb,
2998,2411,en,drift,noun-en,
2999,2411,ett,hundratal,noun-ett,
3000,2409,en,måne,noun-en,
3001,2407,att,bita,verb,
3002,,,blandad,adjective,
3003,2405,en,hjälte,noun-en,
3004,2404,att,skänka,verb,
3005,2404,,tillämplig,adjective,
3006,2403,,betydelsefull,adjective,
3007,2402,ett,synsätt,noun-ett,
3008,2397,en,ström,noun-en,
3009,2396,att,förse,verb,
3010,2396,en,mätning,noun-en,
3011,2395,,massiv,adjective,
3012,2391,en,atmosfär,noun-en,
3013,2390,en,mall,noun-en,
3014,2389,en,personlighet,noun-en,
3015,2388,en,gren,noun-en,
3016,2386,,väldig,adjective,
3017,2382,,effektivt,adverb,
3018,2380,,vanligen,adverb,
3019,2377,ett,koncept,noun-ett,
3020,,,välkänd,adjective,
3021,2372,en,förebild,noun-en,
3022,2372,,uppenbart,adverb,
3023,2370,ett,recept,noun-ett,
3024,2368,en,föreläsning,noun-en,
3025,2366,,antisemitism,noun-en,
3026,2366,,geografisk,adjective,
3027,2366,,grafisk,adjective,
3028,2364,en,upplysning,noun-en,
3029,2363,en,general,noun-en,
3030,2362,en,administration,noun-en,
3031,2359,ett,bröst,noun-ett,
3032,2359,,tills,prep,
3033,2357,ett,patent,noun-ett,
3034,2356,en,befogenhet,noun-en,
3035,2352,,skarp,adjective,
3036,2349,,islamisk,adjective,
3037,2349,,vem som helst,pronoun,
3038,2345,att,förverkliga,verb,
3039,2345,en,prioritering,noun-en,
3040,2343,att,vistas,verb,
3041,2340,,regelbundet,adverb,
3042,2336,en,depression,noun-en,
3043,2335,en,effektivitet,noun-en,
3044,2335,,inne,particle,
3045,2335,,likväl,adverb,
3046,2334,en,blandning,noun-en,
3047,2333,att,datera,verb,
3048,2331,en,final,noun-en,
3049,2331,,tjock,adjective,
3050,2329,att,erövra,verb,
3051,2329,,höger,noun,e.g. till höger
3052,2328,en,sträcka,noun-en,
3053,2327,att,vaka,verb,
3054,2326,,polsk,adjective,
3055,2324,en,bomb,noun-en,
3056,2324,en,tår,noun-en,
3057,2322,en,fackförening,noun-en,
3058,,,utvald,adjective,
3059,2316,en,placering,noun-en,
3060,2315,,huvudsaklig,adjective,
3061,2314,ett,avfall,noun-ett,
3062,2314,,gigantisk,adjective,
3063,2314,en,väntan,noun-en,
3064,2312,en,turnering,noun-en,
3065,2312,en,uppvärmning,noun-en,
3066,2311,ett,djup,noun-ett,
3067,2310,en,praxis,noun-en,
3068,2309,,okej,interj,
3069,2306,,maximal (förk. max.),adjective,
3070,2305,en,konstitution,noun-en,
3071,2305,,otrolig,adjective,
3072,2304,,fruktansvärd,adjective,
3073,2303,att,straffa,verb,
3074,2303,,sådär,adverb,
3075,2301,en,nödvändighet,noun-en,
3076,2299,ett,medlemsland,noun-ett,
3077,2298,en,översyn,noun-en,
3078,2297,,blind,adjective,
3079,2297,en,front,noun-en,
3080,2295,att,fördöma,verb,
3081,2294,,synlig,adjective,
3082,2293,,fint,adverb,
3083,2292,en,skapelse,noun-en,
3084,2291,att,rasa,verb,
3085,2291,,verksam,adjective,
3086,2290,att,avlida,verb,
3087,2290,,fullkomligt,adverb,
3088,2290,,teoretisk,adjective,
3089,2289,att,flyta,verb,
3090,2288,ett,urval,noun-ett,
3091,2286,att,binda,verb,
3092,2284,,fett,noun-ett,
3093,2283,ett,erkännande,noun-ett,
3094,2283,en,hälsning,noun-en,
3095,2283,en,idrott,noun-en,
3096,2282,en,debattartikel,noun-en,
3097,2280,att,belysa,verb,
3098,2279,,emellan,prep,
3099,2278,att,övervaka,verb,
3100,2276,,lagom,adverb,
3101,2275,,sömn,noun-en,
3102,2270,ett,proletariat,noun-ett,
3103,2270,ett,önskemål,noun-ett,
3104,2268,att,förlåta,verb,
3105,2267,,sammanlagt,adverb,
3106,2267,en,slav,noun-en,
3107,2266,en,näsa,noun-en,
3108,2263,,däribland,adverb,
3109,2263,en,export,noun-en,
3110,2261,en,nedgång,noun-en,
3111,2261,en,vinkel,noun-en,
3112,2260,ett,experiment,noun-ett,
3113,,,allierad,adjective,
3114,2258,,arbetstid,noun-en,
3115,2258,en,flagga,noun-en,
3116,2258,att,uppdatera,verb,
3117,2256,ett,block,noun-ett,
3118,2255,,feminism,noun-en,
3119,2255,en,skattebetalare,noun-en,
3120,2254,en,globalisering,noun-en,
3121,2254,,miljontals,adverb,
3122,2254,,obehaglig,adjective,
3123,2252,,ondska,noun-en,
3124,2250,,önskvärd,adjective,
3125,,,anpassad,adjective,
3126,2246,,mysig,adjective,
3127,2246,,norr,noun,e.g. i norr
3128,2244,,andning,noun,
3129,2244,att,motta,verb,
3130,2241,att,utspela sig,verb,
3131,2240,,exakt,adjective,
3132,2239,en,elit,noun-en,
3133,2239,en,inverkan,noun-en,
3134,2236,,akut,adjective,
3135,2236,att,kvarstå,verb,
3136,2234,,troligtvis,adverb,
3137,2232,,konkurs,noun-en,e.g. gå i konkurs
3138,2230,en,center,noun-en,
3139,2230,,än så länge,adverb,
3140,2229,,dramatisk,adjective,
3141,2228,att,låtsas,verb,
3142,2228,,underlig,adjective,
3143,2225,en,förlängning,noun-en,
3144,2224,att,segla,verb,
3145,2223,,försiktig,adjective,
3146,2223,,himla,adverb,
3147,2221,ett,inbördeskrig,noun-ett,
3148,2221,,vid sidan av,prep,
3149,2220,,grym,adjective,
3150,2220,,tunn,adjective,
3151,2218,en,grundlag,noun-en,
3152,2217,,realistisk,adjective,
3153,2217,att,tvätta,verb,e.g. tvätta sig
3154,2214,,enormt,adverb,
3155,2214,,litterär,adjective,
3156,2213,en,mobiltelefon,noun-en,
3157,,,dominerande,adjective,
3158,2209,att,framkomma,verb,
3159,2208,,misshandel,noun-en,
3160,2205,att,skildra,verb,
3161,,,förbannad,adjective,
3162,2204,en,anpassning,noun-en,
3163,2201,en,redaktör,noun-en,
3164,2200,,behörig,adjective,
3165,2199,en,last,noun-en,
3166,2198,en,arbetarrörelse,noun-en,
3167,2198,,liberalism,noun-en,
3168,2198,en,presentation,noun-en,
3169,2197,,stress,noun-en,
3170,2196,att,försörja,verb,
3171,2196,ett,objekt,noun-ett,
3172,2195,ett,omslag,noun-ett,
3173,2193,,absurd,adjective,
3174,,,kvalificerad,adjective,
3175,2191,en,trappa,noun-en,
3176,2189,,offentligt,adverb,
3177,2189,att,röka,verb,
3178,2189,en,valrörelse,noun-en,
3179,2188,att,anfalla,verb,
3180,,,rådande,adjective,
3181,2185,att,spåra,verb,
3182,2185,en,upplaga,noun-en,
3183,2184,,ordentlig,adjective,
3184,2183,att,klä (el. kläda),verb,e.g. klä av sig/klä på sig
3185,2178,en,ambassad,noun-en,
3186,2178,att,konkurrera,verb,
3187,2177,,ovanför,prep,
3188,2177,ett,skämt,noun-ett,
3189,2177,att,tända,verb,
3190,2176,en,anslutning,noun-en,
3191,2176,att,backa,verb,
3192,2173,,loss,particle,
3193,2172,ett,samvete,noun-ett,
3194,2171,,fastän,subj,
3195,2171,ett,årtionde,noun-ett,
3196,2168,en,tomt,noun-en,
3197,2167,,avsevärt,adverb,
3198,2167,att,rita,verb,
3199,2167,,värt,adverb,
3200,2166,ett,register,noun-ett,
3201,2166,,rörlighet,noun-en,
3202,2165,att,ignorera,verb,
3203,,,dold,adjective,
3204,2164,att,befria,verb,
3205,2164,,först och främst,adverb,
3206,2163,,retorik,noun-en,
3207,2160,ett,leende,noun-ett,
3208,2157,,olycklig,adjective,
3209,2157,,säkerligen,adverb,
3210,2153,en,abort,noun-en,
3211,2153,en,taktik,noun-en,
3212,2152,att,beteckna,verb,
3213,2152,en,lärjunge,noun-en,
3214,2151,en,stadga,noun-en,
3215,2150,,långsam,adjective,
3216,2150,,oberoende av,prep,
3217,2148,en,utlänning,noun-en,
3218,2145,en,spelning,noun-en,
3219,2143,ett,godkännande,noun-ett,
3220,2141,,fet,adjective,
3221,2141,en,hovrätt,noun-en,
3222,2140,ett,tiotal,noun-ett,
3223,2138,ett,skivbolag,noun-ett,
3224,2135,ett,stycke,noun-ett,
3225,2135,ett,tempo,noun-ett,
3226,2132,en,påve,noun-en,
3227,2130,en,kant,noun-en,
3228,2129,en,turist,noun-en,
3229,2127,att,predika,verb,
3230,2126,att,reflektera,verb,
3231,2124,en,folkgrupp,noun-en,
3232,2123,en,rektor,noun-en,
3233,2121,att,klargöra,verb,
3234,2121,,neutral,adjective,
3235,2120,,laglig,adjective,
3236,2120,att,tendera,verb,
3237,2120,,utrikespolitik,noun-en,
3238,2119,att,glädja,verb,
3239,2116,,rödgrön,adjective,
3240,2115,att,segra,verb,
3241,2113,att,inrikta,verb,e.g. inrikta sig
3242,2113,ett,monopol,noun-ett,
3243,2111,en,konkurrent,noun-en,
3244,2110,en,plattform,noun-en,
3245,2110,en,skådespelare,noun-en,
3246,2109,en,störning,noun-en,
3247,2106,en,remissinstans,noun-en,
3248,2106,en,rutin,noun-en,
3249,2105,en,dal,noun-en,
3250,2104,en,studio,noun-en,
3251,2103,,användbar,adjective,
3252,2103,ett,lagförslag,noun-ett,
3253,2103,,självfallet,adverb,
3254,2101,,ömsesidig,adjective,
3255,2099,att,förvåna,verb,
3256,2096,en,flaska,noun-en,
3257,2095,att,packa,verb,
3258,2091,ett,reportage,noun-ett,
3259,2090,en,skylt,noun-en,
3260,2089,en,platta,noun-en,
3261,2089,en,välsignelse,noun-en,
3262,2086,en,cell,noun-en,
3263,2084,,i förväg,adverb,
3264,2082,en,kopp,noun-en,
3265,2080,att,bortse,verb,e.g. bortse från ngt
3266,2080,,etik,noun-en,
3267,2080,en,mördare,noun-en,
3268,2079,,med stöd av,prep,
3269,2079,,vid,adjective,
3270,2078,en,förintelse,noun-en,e.g. förintelsen
3271,2078,att,redogöra,verb,e.g. redogöra för
3272,2077,,auktoritet,noun-en,
3273,2077,att,avslå,verb,
3274,2077,,hud,noun-en,
3275,2076,ett,välstånd,noun-ett,
3276,2075,,rättfärdig,adjective,
3277,2074,,därvid,adverb,
3278,2074,att,tillgodose,verb,
3279,2074,,mental,adjective,
3280,2071,en,försvarsmakt,noun-en,
3281,2070,ett,kollektivavtal,noun-ett,
3282,2070,en,svaghet,noun-en,
3283,2069,en,frågeställning,noun-en,
3284,2068,en,motsvarighet,noun-en,
3285,2068,,slutändan,noun,e.g. i slutändan
3286,2067,,bitter,adjective,
3287,2067,,utanförskap,noun-ett,
3288,2064,,åtskillig,adjective,
3289,2061,,koldioxid,noun-en,
3290,2061,en,mässa,noun-en,
3291,2060,,rå,adjective,
3292,2059,att,tvivla,verb,
3293,2058,en,höjning,noun-en,
3294,,,forn,adjective,
3295,2055,,konjunktur,noun-en,
3296,2055,ett,nöje,noun-ett,
3297,2051,,attraktiv,adjective,
3298,2051,en,reflektion,noun-en,
3299,2049,,samråd,noun-ett,
3300,2048,,afrikansk,adjective,
3301,2047,,kontroversiell,adjective,
3302,2047,en,ruta,noun-en,
3303,2045,,folklig,adjective,
3304,2044,att,framträda,verb,
3305,2044,,vis,adjective,
3306,2043,att,förlänga,verb,
3307,2042,att,spegla,verb,
3308,2041,en,frånvaro,noun-en,
3309,2041,ett,symptom (el. symtom),noun-ett,
3310,2039,en,bokstav,noun-en,
3311,2035,en,webbläsare,noun-en,
3312,2034,en,skrivelse,noun-en,
3313,2033,en,barndom,noun-en,
3314,2030,,usel,adjective,
3315,2029,ett,folkmord,noun-ett,
3316,2029,ett,test,noun-ett,
3317,2029,,till känna,adverb,
3318,2027,en,arbetsuppgift,noun-en,
3319,2027,,illegal,adjective,
3320,2027,att,städa,verb,
3321,2027,att,uppvisa,verb,
3322,2027,en,väska,noun-en,
3323,2027,,ärligt,adverb,
3324,2025,,historiskt,adverb,
3325,2025,en,upphovsman,noun-en,
3326,2024,ett,lock,noun-ett,
3327,2023,en,tes,noun-en,
3328,2022,en,bekostnad,noun-en,
3329,2022,,info,noun-en,(vardagligt)
3330,2022,,skadlig,adjective,
3331,2021,att,ansöka,verb,
3332,2021,,industriell,adjective,
3333,2021,en,köpare,noun-en,
3334,2020,en,börs,noun-en,
3335,2018,att,beklaga,verb,
3336,2013,,korruption,noun-en,
3337,2013,att,uppföra,verb,e.g. uppföra sig
3338,2012,en,arbetsförmedling,noun-en,
3339,2012,att,fria,verb,
3340,2011,en,britt,noun-en,
3341,2011,en,kontinent,noun-en,
3342,2011,en,låda,noun-en,
3343,2008,att,bevaka,verb,
3344,2006,en,besparing,noun-en,
3345,2005,en,redovisning,noun-en,
3346,2005,en,variation,noun-en,
3347,,,detaljerad,adjective,
3348,2004,ett,skratt,noun-ett,
3349,2002,,naken,adjective,
3350,2000,ett,byggande,noun-ett,
3351,1998,,konstruktiv,adjective,
3352,1995,att,integrera,verb,
3353,,,återkommande,adjective,
3354,1994,en,slump,noun-en,
3355,1992,en,mottagare,noun-en,
3356,1992,att,återgå,verb,
3357,1991,,i likhet med,adverb,
3358,1991,en,leverantör,noun-en,
3359,,,noll,numeral,
3360,1989,en,storm,noun-en,
3361,1986,en,pirat,noun-en,
3362,1986,att,svänga,verb,
3363,1985,ett,bifall,noun-ett,
3364,1983,en,instruktion,noun-en,
3365,,,upptagen,adjective,
3366,1980,en,paus,noun-en,
3367,1979,,rationell,adjective,
3368,1979,att,överstiga,verb,
3369,,,delad,adjective,
3370,1978,att,skärpa,verb,
3371,1977,en,tillverkare,noun-en,
3372,,,imponerande,adjective,
3373,1975,,följaktligen,adverb,
3374,1975,,innan,prep,
3375,1974,en,misstanke,noun-en,
3376,1974,,omdöme,noun-ett,
3377,1973,en,kod,noun-en,
3378,1973,en,server,noun-en,
3379,1971,,magisk,adjective,
3380,1971,,sträng,adjective,
3381,1969,,vad som helst,adverb,
3382,1966,en,dagbok,noun-en,
3383,1966,att,radera,verb,
3384,1964,en,anknytning,noun-en,
3385,1964,,häromdagen,adverb,
3386,1964,en,innovation,noun-en,
3387,1962,en,gran,noun-en,
3388,1962,en,uppföljning,noun-en,
3389,1961,en,grabb,noun-en,
3390,1959,att,frukta,verb,
3391,1956,en,tvist,noun-en,
3392,1955,,innan,adverb,
3393,1955,,van,adjective,
3394,1954,,dubbelt,adverb,
3395,1954,,mild,adjective,
3396,1951,en,drivkraft,noun-en,
3397,1948,en,tjänare,noun-en,
3398,1947,en,nationalism,noun-en,
3399,1946,ett,moln,noun-ett,
3400,1946,ett,ordförandeskap,noun-ett,
3401,1946,,såvitt,subj,
3402,1945,en,mekanism,noun-en,
3403,1945,,minsann,adverb,
3404,1945,,vaccin,noun-ett,
3405,1944,en,filosof,noun-en,
3406,1941,en,division,noun-en,
3407,1940,,belägen,adjective,
3408,1939,att,tåla,verb,
3409,1938,ett,avdrag,noun-ett,
3410,1938,en,koloni,noun-en,
3411,1938,,sannerligen,adverb,
3412,1934,,till förmån för,prep,
3413,1932,,cancer,noun-en,
3414,1932,,förföljelse,noun-en,
3415,1931,en,byråkrati,noun-en,
3416,1930,,mobil,adjective,
3417,1930,,tillsyn,noun-en,
3418,1929,,ett,pronoun,
3419,1929,,sur,adjective,
3420,1927,,nazism,noun-en,
3421,1926,,rösträtt,noun-en,
3422,1926,,somlig,pronoun,
3423,1926,en,utredare,noun-en,
3424,1924,ett,stadium,noun-ett,
3425,1923,ett,dagis,noun-ett,
3426,1922,,färsk,adjective,
3427,1922,,positivt,adverb,
3428,1921,en,livsstil,noun-en,
3429,1919,ett,pressmeddelande,noun-ett,
3430,1918,en,klyfta,noun-en,
3431,1917,,skapande,noun-ett,
3432,,,inlagd,adjective,
3433,1916,,konstnärlig,adjective,
3434,1916,,pinsam,adjective,
3435,,,löpande,adjective,
3436,1915,,konstant,adjective,
3437,1915,att,åberopa,verb,
3438,1913,ett,arrangemang,noun-ett,
3439,,,avslutad,adjective,
3440,1912,,varifrån,adverb,
3441,1911,en,jurist,noun-en,
3442,1910,att,lagra,verb,
3443,1910,,påtaglig,adjective,
3444,1909,,tillgänglighet,noun-en,
3445,1907,,pedagogisk,adjective,
3446,1907,att,skita,verb,(vardagligt)
3447,1905,ett,kärnvapen,noun-ett,
3448,1905,en,plikt,noun-en,
3449,1902,att,företräda,verb,
3450,1902,,mjölk,noun-en,
3451,1902,en,policy,noun-en,
3452,1899,att,ångra,verb,
3453,1898,en,apostel,noun-en,
3454,1897,att,ingripa,verb,
3455,1896,att,tröttna,verb,
3456,1896,en,utvidgning,noun-en,
3457,1895,ett,kvarter,noun-ett,
3458,1894,,flexibel,adjective,
3459,1893,en,motionär,noun-en,
3460,1890,,ideell,adjective,
3461,1890,,insyn,noun-en,
3462,1889,,bosatt,adjective,
3463,1886,,filosofisk,adjective,
3464,1885,en,inspelning,noun-en,
3465,1885,,reell,adjective,
3466,1884,att,generera,verb,
3467,1881,att,krypa,verb,
3468,1879,en,kränkning,noun-en,
3469,1878,,trogen,adjective,
3470,1878,att,underteckna,verb,
3471,1875,,stilla,adverb,
3472,1873,en,invasion,noun-en,
3473,1870,,enhetlig,adjective,
3474,1869,en,not,noun-en,
3475,1865,att,förebygga,verb,
3476,1865,att,lukta,verb,
3477,1861,,humanitär,adjective,
3478,1861,,intelligent,adjective,
3479,1860,ett,besvär,noun-ett,
3480,1859,en,flotta,noun-en,
3481,1859,,turkisk,adjective,
3482,1858,en,mandatperiod,noun-en,
3483,1856,en,civilisation,noun-en,
3484,1853,att,ursäkta,verb,
3485,1851,att,demonstrera,verb,
3486,1851,att,godta,verb,
3487,1850,att,andas,verb,
3488,1850,,böter,noun,(plural)
3489,1850,en,lärdom,noun-en,
3490,1848,,kyla,noun-en,
3491,1848,,ordinarie,adjective,
3492,1846,en,delegation,noun-en,
3493,1845,att,suga,verb,
3494,1845,en,tränare,noun-en,
3495,1843,ett,användande,noun-ett,
3496,1843,en,arbetsgrupp,noun-en,
3497,1843,en,operatör,noun-en,
3498,1842,en,reporter,noun-en,
3499,1839,,tortyr,noun-en,
3500,1838,en,kapten,noun-en,
3501,1835,att,forska,verb,
3502,1834,,avkastning,noun-en,
3503,1834,,genomsnittlig,adjective,
3504,1834,en,jägare,noun-en,
3505,1831,en,makthavare,noun-en,
3506,1829,,löjlig,adjective,
3507,1829,,skönhet,noun-en,
3508,1827,,orimlig,adjective,
3509,1826,,matematik,noun-en,
3510,1825,,officiellt,adverb,
3511,1824,att,rensa,verb,
3512,1824,att,utvärdera,verb,
3513,1823,,onekligen,adverb,
3514,1823,en,tonåring,noun-en,
3515,1822,,dagsläge,noun-ett,e.g. i dagsläget
3516,1822,en,entreprenör,noun-en,
3517,1822,en,kines,noun-en,
3518,,,blivande,adjective,
3519,1820,ett,elände,noun-ett,
3520,1820,att,glida,verb,
3521,1820,en,stiftelse,noun-en,
3522,1815,,frivilligt,adverb,
3523,1815,att,introducera,verb,
3524,1815,,korrekt,adverb,
3525,1815,,villigt,adverb,
3526,1811,en,friskola,noun-en,
3527,1811,en,smula,noun-en,
3528,1810,att,försvåra,verb,
3529,1810,,kyrklig,adjective,
3530,1809,,oväntad,adjective,
3531,1808,,rikedom,noun-en,
3532,1807,en,delstat,noun-en,
3533,1804,,gång på gång,adverb,
3534,1804,att,illustrera,verb,
3535,1802,en,centralbank,noun-en,
3536,1800,ett,grannland,noun-ett,
3537,1800,en,rasist,noun-en,
3538,1800,,ägande,noun-ett,
3539,,,förvirrad,adjective,
3540,1798,,kredit,noun-en,
3541,1798,,rom,noun-en,
3542,1797,en,storstad,noun-en,
3543,1797,att,tveka,verb,
3544,1797,en,överföring,noun-en,
3545,1796,en,katolik,noun-en,
3546,1795,,tät,adjective,
3547,1794,ett,fotografi,noun-ett,
3548,1794,en,förare,noun-en,
3549,1794,en,historiker,noun-en,
3550,1792,ett,misslyckande,noun-ett,
3551,1791,en,present,noun-en,
3552,1790,ett,dödsstraff,noun-ett,
3553,1787,en,evighet,noun-en,
3554,1785,en,enighet,noun-en,
3555,1785,ett,torn,noun-ett,
3556,,,stigande,adjective,
3557,1784,att,förkasta,verb,
3558,1783,ett,humör,noun-ett,
3559,1782,,hemskt,adverb,
3560,1781,ett,moment,noun-ett,
3561,1778,,allihop (vardagl. allihopa),pronoun,
3562,1778,en,fritid,noun-en,
3563,1778,,rapportering,noun-en,
3564,1778,en,stöld,noun-en,
3565,1777,,konkurrenskraft,noun-en,
3566,1777,,psykologisk,adjective,
3567,1776,,alternativt,adverb,
3568,1776,en,direktör,noun-en,
3569,1774,,skeptisk,adjective,
3570,1772,,bakåt,adverb,
3571,1771,en,lapp,noun-en,
3572,1769,att,anlita,verb,
3573,1769,att,avfärda,verb,
3574,1768,,likadant,adverb,
3575,1767,,separat,adjective,
3576,1766,att,överensstämma,verb,
3577,1765,en,finansminister,noun-en,
3578,1765,ett,format,noun-ett,
3579,1765,att,ogilla,verb,
3580,1765,att,omvandla,verb,
3581,1764,,argumentation,noun-en,
3582,1764,,likadan,adjective,
3583,1764,en,tavla,noun-en,
3584,1759,,kännedom,noun-en,
3585,1759,en,programvara,noun-en,
3586,1759,en,skattesänkning,noun-en,
3587,1758,,jämlikhet,noun-en,
3588,1757,en,chefredaktör,noun-en,
3589,1757,en,säljare,noun-en,
