id,freq,grammar,sv,grammar2,fa,wclass,ex,fa_ex
358,38722,,ner,,,particle,,
359,38452,att,fortsätta,,,verb,,
360,38159,en,skola,,,noun-en,,
361,38098,att,bruka,,,verb,,
362,37831,ett,mål,,,noun-ett,,
363,37805,ett,par,,,noun-ett,,
364,37665,,sent,,,adverb,,
365,37379,,ekonomisk,,,adjective,,
366,37144,,kl. (klockan),,,noun-en,e.g. klockan 20.00,
367,36930,,dålig,,,adjective,,
368,36847,ett,namn,,,noun-ett,,
369,36682,,igen,,,adverb,,
370,36682,,verkligen,,,adverb,,
371,36532,att,mena,,,verb,,
372,36411,,fortfarande,,,adverb,,
373,36015,en,grupp,,,noun-en,,
374,35995,ett,beslut,,,noun-ett,,
375,35878,,även om,,,subj,,
376,35857,,enda,,,adjective,,
377,35756,,bort,,,particle,,
378,35650,att,slå,,,verb,e.g. slå ihop/in/ner/upp,
379,35423,,möjlig,,,adjective,,
380,35342,,många,,,pronoun,,
381,35074,att,hända,,,verb,,
382,35074,att,ämna,,,aux verb,e.g. ämna göra ngt,
383,34448,,endast,,,adverb,,
384,34382,en,miljon,,,noun-en,,
385,33939,,vidare,,,adverb,,
386,33671,,ganska,,,adverb,,
387,33249,ett,svar,,,noun-ett,,
388,33219,,varenda,,,det,,
389,33218,,istället,,,adverb,,
390,33101,,först,,,adverb,,
391,33053,att,arbeta,,,verb,,
392,32925,,heller,,,adverb,,
393,32904,,riktigt,,,adverb,,
394,32901,en,hand,,,noun-en,"e.g. på egen hand, ta hand om",
395,32831,en,uppgift,,,noun-en,,
396,32764,att,fungera,,,verb,,
397,32671,att,beta,,,verb,,
398,32389,att,köpa,,,verb,,
399,32377,,nästan,,,adverb,,
400,32337,,bra,,,adverb,,
401,32202,,bland,,,prep,,
402,32015,,december,,,noun,,
403,31957,att,sitta,,,verb,,
404,31599,,precis,,,adverb,,
405,31458,,hennes,,,pronoun,,
406,31395,att,åta sig,,,verb,,
407,31374,,bland annat,,,adverb,,
408,31361,ett,krig,,,noun-ett,,
409,31347,,till exempel,,,adverb,,
410,31337,,tillsammans,,,adverb,,
411,31102,,henne,,,pronoun,,
412,31027,,intressant,,,adjective,,
413,30773,ett,val,,,noun-ett,,
414,30604,en,kyrka,,,noun-en,,
415,30489,,egentligen,,,adverb,,
416,30476,,inför,,,prep,,
417,30467,en,historia,,,noun-en,,
418,30435,ett,jobb,,,noun-ett,,
419,30364,att,berätta,,,verb,,
420,30307,,vanlig,,,adjective,,
421,30252,att,rätta,,,verb,,
422,30143,,januari,,,noun,,
423,30113,,information,,,noun-en,,
424,29957,,flest,,,adjective,e.g. de flesta,
425,29701,,ung,,,adjective,,
426,29676,,en,,,pronoun,,
427,29593,,tillbaka,,,particle,,
428,29489,en,film,,,noun-en,,
429,29479,,ibland,,,adverb,,
430,29348,,medan,,,subj,,
431,29253,ett,slut,,,noun-ett,,
432,29170,en,massa,,,noun-en,,
433,28684,en,tanke,,,noun-en,,
434,28666,en,akt,,,noun-en,,
435,28639,en,procent,,,noun-en,,
436,28631,en,månad,,,noun-en,,
437,28505,,sista,,,adjective,,
438,28490,en,ätt,,,noun-en,,
439,28440,att,sluta,,,verb,,
440,28410,en,verksamhet,,,noun-en,,
441,28404,en,rätt,,,noun-en,,
442,28220,,samtidigt,,,adverb,,
443,28191,,emot,,,prep,,
444,27846,ett,stöd,,,noun-ett,,
445,27838,en,familj,,,noun-en,,
446,27733,,vem,,,pronoun,,
447,27719,att,åka,,,verb,,
448,27593,att,betala,,,verb,,
449,27590,en,kommun,,,noun-en,,
450,27584,ett,resultat,,,noun-ett,,
451,27578,att,utveckla,,,verb,,
452,27411,att,föra,,,verb,,
453,27238,att,hjälpa,,,verb,,
454,27126,,nästa,,,adjective,,
455,27089,,nära,,,adverb,,
456,27088,,nej,,,interj,,
457,26745,en,text,,,noun-en,,
458,26498,ett,exempel,,,noun-ett,,
459,26489,,särskilt,,,adverb,,
460,26457,en,debatt,,,noun-en,,
461,26224,,när det gäller,,,prep,,
462,26110,,på grund av,,,adverb,,
463,26109,en,situation,,,noun-en,,
464,26056,,europeisk,,,adjective,,
465,26005,en,form,,,noun-en,,
466,26005,en,orm,,,noun-en,,
467,26001,ett,råd,,,noun-ett,,
468,25998,,november,,,noun,,
469,25995,,makt,,,noun-en,,
470,25868,,social,,,adjective,,
471,25837,att,vinna,,,verb,,
472,25805,,kvar,,,particle,,
473,25733,ett,system,,,noun-ett,,
474,25713,att,vänta,,,verb,,
475,25703,,tidig,,,adjective,,
476,25521,en,åtgärd,,,noun-en,,
477,25498,ett,krav,,,noun-ett,,
478,25497,en,skillnad,,,noun-en,e.g. till skillnad från/mot,
479,25439,en,riksdag,,,noun-en,e.g. riksdagen,
480,25384,,internationell,,,adjective,,
481,25384,,nationell,,,adjective,,
482,25307,att,jobba,,,verb,,
483,24871,att,klara,,,verb,"e.g. klara av, klara sig",
484,24824,en,typ,,,noun-en,,
485,24744,,kring,,,prep,,
486,24739,,båda (vardgl. bägge),,,pronoun,,
487,24735,,cirka (förk. ca),,,adverb,,
488,24684,en,tur,,,noun-en,,
489,24672,en,polis,,,noun-en,,
490,24601,ett,medium,,,noun-ett,,
491,24424,,låg,,,adjective,,
492,24415,,varandra (vardagl. varann),,,pronoun,,
493,24389,en,mun,,,noun-en,,
494,24337,ett,ansvar,,,noun-ett,,
495,24327,en,roll,,,noun-en,,
496,24159,en,regel,,,noun-en,,
497,24118,,oktober,,,noun,,
498,24061,att,prata,,,verb,,
499,24010,en,organisation,,,noun-en,,
500,24002,en,medlem,,,noun-en,,
501,23994,att,fråga,,,verb,,
502,23918,att,anmäla,,,verb,e.g. anmäla sig,
503,23905,att,nå,,,verb,,
504,23881,att,bo,,,verb,,
505,23689,en,krona,,,noun-en,,
506,23647,att,stämma,,,verb,,
507,23646,en,rättighet,,,noun-en,,
508,23633,,sedan (vardagl. sen),,,prep,,
509,23567,,bakom,,,prep,,
510,23563,,efter att,,,subj,,
511,23551,,därmed,,,adverb,,
512,23551,,med,,,adverb,,
513,23549,ett,hus,,,noun-ett,,
514,23461,en,vän,,,noun-en,,
515,23420,att,dela,,,verb,e.g. dela ut,
516,23375,,februari,,,noun,,
517,23324,,kort,,,adjective,,
518,23295,en,grund,,,noun-en,,
519,23200,,runt,,,prep,,
520,23161,en,framtid,,,noun-en,,
521,23161,att,köra,,,verb,,
522,23064,en,etikett,,,noun-en,,
523,23010,,fri,,,adjective,,
524,22996,ett,behov,,,noun-ett,,
525,22970,en,timme (el. timma),,,noun-en,,
526,22950,,september,,,noun,,
527,22913,att,hoppas,,,verb,,
528,22872,,ensam,,,adjective,,
529,22789,,snart,,,adverb,,
530,22646,,rätt,,,adverb,,
531,22577,att,förklara,,,verb,,
532,22565,en,ledning,,,noun-en,,
533,22505,ett,intresse,,,noun-ett,,
534,22457,att,tvinga,,,verb,,
535,22390,att,påverka,,,verb,,
536,22331,en,anledning,,,noun-en,,
537,22321,att,titta,,,verb,e.g. titta in/på,
538,22278,att,minska,,,verb,,
539,22263,,i alla fall (el. iallafall,,, förk. iaf),adverb,
540,22219,,däremot,,,adverb,,
541,22188,,direkt,,,adverb,,
542,22149,en,ekonomi,,,noun-en,,
543,21989,att,bestämma,,,verb,e.g. bestämma sig,
544,21984,att,skicka,,,verb,e.g. skicka tillbaka/ut,
545,21937,,trots,,,prep,e.g. trots ngt,
546,21923,en,åsikt,,,noun-en,,
547,21904,en,diskussion,,,noun-en,,
548,21904,en,rad,,,noun-en,,
549,21901,ett,faktum,,,noun-ett,,
550,21878,en,tidning,,,noun-en,,
551,21793,en,mening,,,noun-en,,
552,21732,,utanför,,,prep,,
553,21716,,rätt,,,adjective,,
554,21598,,gemensam,,,adjective,,
555,21421,,klar,,,adjective,,
556,21313,,juni,,,noun,,
557,21300,,is,,,noun-en,,
558,21255,en,bil,,,noun-en,,
559,21230,en,myndighet,,,noun-en,,
560,21205,ett,nummer (förk. nr),,,noun-ett,,
561,21122,,allmän,,,adjective,,
562,21099,,musik,,,noun-en,,
563,21069,att,ändra,,,verb,,
564,21061,att,träffa,,,verb,,
565,20946,,ihop,,,particle,,
566,20924,att,diskutera,,,verb,,
567,20897,att,driva,,,verb,e.g. driva på,
568,20830,att,sälja,,,verb,,
569,20814,att,sakna,,,verb,,
570,20793,ett,program,,,noun-ett,,
571,20685,,ifrån,,,prep,,
572,20446,att,länka,,,verb,,
573,20428,,kunskap,,,noun-en,,
574,20370,,snabbt,,,adverb,,
575,20265,,maj,,,noun,,
576,20254,,amerikansk,,,adjective,,
577,20231,att,tyda,,,verb,,
578,,,särskild,,,adjective,,
579,20132,en,början,,,noun-en,,
580,20100,,naturligtvis,,,adverb,,
581,20063,ett,skäl,,,noun-ett,,
582,19949,,fin,,,adjective,,
583,19935,att,genomföra,,,verb,,
584,19922,,liksom,,,adverb,,
585,19850,,via,,,prep,,
586,19819,,före,,,prep,,
587,19791,en,dom,,,noun-en,,
588,19753,en,risk,,,noun-en,,
589,19734,,enkel,"enkel, enklare, enklast",ساده,adjective,,
590,19729,,alls,,,adverb,,
591,19713,ett,pris,,,noun-ett,,
592,19712,att,räkna,,,verb,e.g. räkna upp,
593,19649,att,beskriva,,,verb,,
594,19634,,hem,,,particle,,
595,19611,att,möta,,,verb,,
596,19592,,såsom,,,subj,,
597,19559,en,idé,,,noun-en,,
598,19555,ett,gram,,,noun-ett,,
599,19485,,förra,,,adjective,,
600,19452,en,tjänst,,,noun-en,,
601,19405,att,heta,,,verb,,
602,19392,en,kultur,,,noun-en,,
603,19351,att,äta,,,verb,,
604,19246,ett,syfte,,,noun-ett,,
605,19137,en,princip,,,noun-en,,
606,19116,att,flytta,,,verb,,
607,19108,,ute,,,adverb,,
608,19108,att,utgöra,,,verb,,
609,19088,en,politiker,,,noun-en,,
610,19085,,lätt,,,adjective,,
611,19039,en,förälder,,,noun-en,,
612,18939,en,marknad,,,noun-en,,
613,18922,,nämligen,,,adverb,,
614,18916,,tydlig,,,adjective,,
615,18910,,utbildning,,,noun-en,,
616,18888,att,röra,,,verb,e.g. röra sig,
617,18883,en,nivå,,,noun-en,,
618,18852,,april,,,noun,,
619,18841,en,mängd,,,noun-en,,
620,18833,en,betydelse,,,noun-en,,
621,18755,,kristen,,,adjective,,
622,18731,att,dö,,,verb,,
623,18721,,mars,,,noun,,
624,18691,,allt,,,adverb,,
625,18682,en,kväll,,,noun-en,e.g. god kväll,
626,18676,,bildning,,,noun-en,,
627,18644,en,länk,,,noun-en,,
628,18543,att,växa,,,verb,e.g. växa upp,
629,18486,,per,,,prep,,
630,18449,,offentlig,,,adjective,,
631,18436,,såväl,,,conj,,
632,18430,att,våga,,,verb,,
633,18389,,vatten,,,noun-ett,,
634,18380,,håll,,,noun-ett,,
635,18306,,mänsklig,,,adjective,,
636,18304,en,demokrati,,,noun-en,,
637,18289,att,fatta,,,verb,,
638,18227,,jord,,,noun-en,,
639,18178,en,känsla,,,noun-en,,
640,18176,en,förändring,,,noun-en,,
641,18146,att,nämna,,,verb,,
642,18144,,tyvärr,,,adverb,,
643,18129,,enskild,,,adjective,,
644,18124,,rätt,,,particle,,
645,18106,att,be (el. bedja),,,verb,,
646,18079,en,punkt,,,noun-en,,
647,18078,en,ändring,,,noun-en,,
648,18022,en,mission,,,noun-en,,
649,17959,,igår (el. i går),,,adverb,,
650,17936,en,kommission,,,noun-en,,
651,17881,en,ort,,,noun-en,,
652,17851,att,anta,,,verb,,
653,17831,,trots att,,,subj,,
654,17822,ett,spel,,,noun-ett,,
655,17820,ett,språk,,,noun-ett,,
656,17815,att,föreslå,,,verb,,
657,17663,,igenom,,,prep,,
658,17600,att,undra,,,verb,,
659,17578,,eget,,,adjective,,
660,17553,ett,möte,,,noun-ett,,
661,17550,,mat,,,noun-en,,
662,17505,en,gräns,,,noun-en,,
663,17436,att,lyssna,,,verb,,
664,17420,att,delta,,,verb,e.g. delta i,
665,17408,ett,samarbete,,,noun-ett,,
666,17397,,annars,,,adverb,,
667,17394,att,falla,,,verb,e.g. falla ner/på/ut,
668,17370,,nära,,,adjective,,
669,17336,ett,rum,,,noun-ett,,
670,17320,,ungefär,,,adverb,,
671,17292,att,starta,,,verb,,
672,17272,att,inse,,,verb,,
673,17258,,internet,,,noun,e.g. Internet,
674,17213,ett,hov,,,noun-ett,,
675,17199,,öppen,,,adjective,,
676,17196,att,bidra,,,verb,,
677,17168,en,död,,,noun-en,,
678,17123,att,luta,,,verb,e.g. luta sig,
679,17108,ett,öga,,,noun-ett,,
680,17039,,säkert,,,adverb,,
681,17015,ett,ämne,,,noun-ett,,
682,16976,,få,,,adjective,,
683,16959,,augusti,,,noun,,
684,16928,en,socialdemokrat (vardagl. sosse),,,noun-en,,
685,16908,ett,projekt,,,noun-ett,,
686,16896,,övrig,,,adjective,,
687,16883,,dels,,,conj,e.g. dels…dels,
688,16808,,framför allt (el. framförallt),,,adverb,,
689,16799,,positiv,,,adjective,,
690,16796,,rolig,,,adjective,,
691,16753,en,port,,,noun-en,,
692,16722,att,bero,,,verb,e.g. bero på,
693,16624,en,kropp,,,noun-en,,
694,16579,att,minnas,,,verb,,
695,16573,,handling,,,noun-en,,
696,16537,att,rösta,,,verb,,
697,16528,,riktig,,,adjective,,
698,16514,en,rapport,,,noun-en,,
699,16483,en,lösning,,,noun-en,,
700,16395,,personlig,,,adjective,,
701,16297,att,kommentera,,,verb,,
702,16277,,som att,,,subj,,
703,16236,att,gilla,,,verb,,
704,16201,att,bryta,,,verb,"e.g. bryta mot, bryta sönder, bryta ut",
705,16195,,hjälp,,,noun-en,,
706,16189,,juli,,,noun,,
707,16126,att,innehålla,,,verb,,
708,,,liknande,,,adjective,,
709,16063,ett,tillfälle,,,noun-ett,,
710,16050,,inte ens,,,adverb,,
711,,,känd,,,adjective,,
712,16016,,forskning,,,noun-en,,
713,16013,en,kraft,,,noun-en,,
714,15973,,helt enkelt,,,adverb,,
715,15954,ett,brott,,,noun-ett,,
716,15954,,exempelvis,,,adverb,,
717,15948,en,röst,,,noun-en,,
718,15944,att,bjuda,,,verb,e.g. bjuda på,
719,15926,,"till och med (förk. t.o.m., t o m)",,,adverb,,
720,15911,att,hävda,,,verb,,
721,15892,att,hamna,,,verb,e.g. hamna i/på,
722,15821,en,effekt,,,noun-en,,
723,15777,en,enhet,,,noun-en,,
724,15740,,"det vill säga (förk. d.v.s., dvs.)",,,adverb,,
725,15716,en,kontakt,,,noun-en,,
726,15716,en,takt,,,noun-en,,
727,15712,ett,värde,,,noun-ett,,
728,15700,en,förutsättning,,,noun-en,,
729,15693,en,sats,,,noun-en,,
730,15685,en,medlemsstat,,,noun-en,,
731,15658,att,hinna,,,verb,e.g. hinna upp,
732,15590,en,sanning,,,noun-en,,
733,15567,en,religion,,,noun-en,,
734,15519,en,källa,,,noun-en,,
735,15502,att,må,,,verb,,
736,15472,en,kostnad,,,noun-en,,
737,15464,en,medborgare,,,noun-en,,
738,15463,ett,förhållande,,,noun-ett,,
739,15397,en,"far (el. fader, vardagl. farsa)",,,noun-en,,
740,15386,en,miljard,,,noun-en,,
741,15319,,ungdom,,,noun-en,,
742,15313,att,släppa,,,verb,e.g. släppa in/ut,
743,15294,,enbart,,,adverb,,
744,15293,ett,drag,,,noun-ett,,
745,15269,en,verklighet,,,noun-en,,
746,15261,en,författare,,,noun-en,,
747,15219,en,tillgång,,,noun-en,,
748,15210,,nödvändig,,,adjective,,
749,15176,,full,,,adjective,,
750,15102,,frihet,,,noun-en,,
751,15093,att,passa,,,verb,,
752,15067,,lokal,,,adjective,,
753,15000,,ytterligare,,,adverb,,
754,14995,att,öppna,,,verb,,
755,14850,att,införa,,,verb,,
